country,province,district_code,english_description,dari_description
,01,,KABUL,کابل
,,0101,PROVINCIAL CAPITAL OF  KABUL (KABUL),(مرکز ولایت کابل ( کابل
,,0102,PAGHMAN,پغمان
,,0103,CHAHAR ASYAB,چهارآسیاب
,,0104,BAGRAMI,بگرامی
,,0105,DEHSABZ,ده سبز
,,0106,SHAKAR DARA,شکردره
,,0107,MUSAHI,موسهی
,,0108,MIR BACHA KOT,میر بچه کوت
,,0109,KHAK-E-JABAR,خاک جبار
,,0110,KALAKAN,کلکان
,,0111,GULDARA,گلدره
,,0112,FARZA,فرزه
,,0113,ESTALEF,استالف
,,0114,QARA BAGH,قره باغ
,,0115,SURUBI,سروبی
,02,,KAPISA,کاپیسا
,,0201,PROVINCIAL CAPITAL OF KAPISA (MAHMUDI RAQI),( مرکز ولایت کاپیسا (محمود راقی
,,0202,HISSA-E- DUWUMI KOHISTAN,حصه دوم کوهستان
,,0203,KOH BAND,کوه بند
,,0204,HISSA-E-AWALI KOHISTAN,حصه اول کوهستان
,,0205,NIJRAB,نجراب
,,0206,TAGAB,تگاب
,,0207,ALASAY,اله سای
,03,,PARWAN,پروان
,,0301,PROVINCIAL CAPITAL OF PARWAN (CHARIKAR),( مرکز ولایت پروان ( چاریکار
,,0302,BAGRAM,بگرام
,,0303,SHINWARI,شینواری
,,0304,SAYID KHAIL,سید خیل
,,0305,JABULUSSARAJ,جبل السراج
,,0306,SALANG,سالنگ
,,0307,SYAHGIRDI GHORBAND,سیاه گرد غوربند
,,0308,KOHI SAFI,کوه صافی
,,0309,SURKHI PARSA,سرخ پارسا
,,0310,SHAYKH ALI,شیخ علی
,04,,WARDAK,وردک
,,0401,PROVINCIAL CAPITAL OF WARDAK (MAYDAN SHAHR),( مرکز ولایت وردک ( میدان شهر
,,0402,NERKH,نرخ
,,0403,JALREZ,جلریز
,,0404,CHAKI WARDAK,چک وردک
,,0405,SAYYDABAD,سید آباد
,,0406,DAYMIRDAD,دایمیرداد
,,0407,HISSA-E-AWALI BIHSUD,حصه اول بهسود
,,0408,JAGHATU,جغتو
,,0409,MARKAZ-E-BEHSUD,مرکز بهسود
,05,,LOGAR,لوگر
,,0501,PROVINCIAL CAPITAL OF  LOGAR ( PULI ALAM ),(مرکز ولایت لوگر ( پل علم
,,0502,BARAKI BARAK,برکی برک
,,0503,CHARKH,چرخ
,,0504,KHUSHI,خوشی
,,0505,MOHAMMAD AGHA,محمد آغه
,,0506,KHAR WAR,خروار
,,0507,AZRA,ازره
,06,,NANGARHAR,ننگرهار
,,0601,PROVINCIAL CAPITAL OF  NANGARHAR ( JALALABAD ),(مرکز ولایت ننگرهار ( جلال آباد
,,0602,BEHSUD,بهسود
,,0603,SURKH RUD,سرخرود
,,0604,CHAPARHAR,چپرهار
,,0605,KAMA,کامه
,,0606,KUZKUNAR,کوزکنر
,,0607,RODAT,رودات
,,0608,KHUGYANI,خوگیانی
,,0609,BATI KOT,بتی کوت
,,0610,DEH BALA,ده بالا
,,0611,PACHIR WAGAM,پچیرواگام
,,0612,DARAH-E-NOOR,دره نور
,,0613,KOT,کوت
,,0614,GOSHTA,گوشته
,,0615,ACHIN,اچین
,,0616,SHINWAR,شینوار
,,0617,MUHMAND DARA,مهمنددره
,,0618,LALPOOR,لعل پور
,,0619,SHER ZAD,شیرزاد
,,0620,NAZYAN,نازیان
,,0621,HESARAK,حصارک
,,0622,DUR BABA,دربابا
,07,,LAGHMAN,لغمان
,,0701,PROVINCIAL CAPITAL OF  LAGHMAN ( MEHTERLAM ),( مرکز ولایت لغمان ( مهترلام
,,0702,QARGHAYEE,قرغیی
,,0703,ALISHING,علیشنگ
,,0704,ALINGAR,علینگار
,,0705,DAWLAT SHAH,دولت شاه
,08,,PANJSHER,پنجشیر
,,0801,PROVINCIAL CAPITAL OF  PANJSHER ( BAZARAK ),( مرکز ولایت پنجشیر ( بازارک
,,0802,RUKHA,رخه
,,0803,DARAH,دره
,,0804,HISSA-E-AWAL ( KHINJ ),حصه اول خنج
,,0805,UNABA,عنابه
