ministry_code,tasnif_code,english_description,dari_description,pashto_description
Operating Budget Project Code,000000,Project code for Operating Budget,کود پروزه براي بودجه عادي,د عادي بودجي د پروژي کوډ
,011111,Operation and Maintenance (OP Budget),پروژه بودجه عادی حفظ و مراقبت (بودجه دولت),د عادي بودجي د ساتنی او څارني پروژه (دولتي بودجه)
,022222,Revised O&M-WB,پروژه بودجه عادی حفظ و مراقبت (بانک جهانی),د عادي بودجي د ساتنی او څارني پروژه (نړیوال بانک)
,033333,Operating Budget COVID-19,پروژه بودجه عادی مختص به کرونا ,د عادي بودجي د کرونا اړوند مصارفو ځانګړي پروژه
,044444,Operating Budget Salary Project,پروژه بودجه عادی معاشات,د عادي بودجي د معاشاتو پروژه
,021100,Civilian employees (permanent),کارمندان ملکی (دائمی ),دایمي کارکوونکي
,021110,Contractors,کارمندان بالمقطع,باالمقطع کارکوونکی
,021122,Interim additional allow (PRR),معاشات امتیازی  ,امتیازي معاشات
,021124,Overtime,اضافه کاری ( تمام کارمندان از بست خارج رتبه الی بست هشتم),اضافه کاری
,021130,Special Operative and hidden Expense,مصارف اوپراتیفی خاص و مستور,ځانګړي اوپراتیفی پټ مصارف
,022100,Travel,سفریه,سفریه
,022400,Repairs and maintenance of vehicles,ترمیمات حفظ ومراقبت وسایط نقلیه,
,022408,Maintenance and repair of office equipment,ترمیمات حفظ ومراقبت تجهیزات دفتر,
,022416,Repairs And Maintenance of Buildings,ترمیمات حفظ ومراقبت ساختمان ها,
,022601,Fuel Vehicles,روغنیات اراده جات,
,022603,Fuel - domestic,روغنیات داخلی,
,022428,Operating And Maintenance Of High Tonnage Scales,حفظ ومراقبت ترازو های بلند تناژ,
,022500,"Electricity
                 ",برق,بريښنا
OP Budget Contingency Project Code,,,,
,090001,Policy Contingency code,کود احتیاطی  پالیسی,د پالیسۍ احتیاطي کوډونه
,090002,Contingincy code for emergency situation,کود احتیاطی برای حالت اضطراری,د بیړني حالت لپاره احتیاطي کوډ
,090020,Refunding the Revenue, برای بازپرداخت عواید, د عوایدو بیا ورکړه
